"Cavern of Dreams","Oct 19, 2023","['Bynine']"
"War Wind","Sep 23, 1996","['SSI (Strategic Simulations, Inc.)', 'DreamForge Intertainment']"
"Impossible Creatures","Dec 29, 2002","['Relic Entertainment', 'Microsoft Game Studios']"
"Darwinia","Mar 04, 2005","['Ambrosia Software', 'Introversion Software']"
"Gauntlet Dark Legacy","Dec 31, 2000","['Midway Games West', 'Midway Games']"
"SilverLoad","Dec 31, 1995","['Millennium Interactive', 'Vic Tokai']"
"Garage: Bad Dream Adventure","Dec 31, 1999","['Kinotrope', 'Toshiba-EMI']"
"Knights of Honor","Oct 01, 2005","['Paradox Interactive', 'Black Sea Studios']"
"Broken Sword: The Smoking Mirror","Oct 17, 1997","['Crave Entertainment', 'Revolution Software']"
"Heroes of Might and Magic II: Gold","Dec 31, 1998","['The 3DO Company', 'New World Computing']"
"Technobabylon","May 21, 2015","['Technocrat Games', 'Wadjet Eye Games']"
"Sanitarium","Apr 28, 1998","['DreamForge Intertainment', 'ASC Games']"
"Hexen: Beyond Heretic","Oct 30, 1995","['Raven Software', 'id Software']"
"Ascendancy","Aug 05, 1995","['The Logic Factory']"
"Superhero League of Hoboken","Jan 01, 1994","['Legend Entertainment']"
"Interstellar Space: Genesis","Jul 25, 2019","['Praxis Games']"
"Emperor of the Fading Suns","Feb 28, 1997","['TDB']"
"Imperium Galactica","Mar 01, 1997","['Digital Reality', 'GT Interactive Software']"
"UFO: Aftermath","Oct 24, 2003","['ALTAR Games', 'Cenega / Tri Synergy Inc.']"
"Freespace 2","Sep 30, 1999","['Volition', 'Interplay Entertainment']"
"Frontier: Elite II","Oct 01, 1993","['Frontier Developments', 'Konami']"
"Space Wreck","Dec 05, 2022","['Pahris Entertainment']"
"Streets of Rogue","Jul 11, 2019","['tinyBuild', 'Matt Dabrowski']"
"Master of Puppets","Dec 27, 2022","['TDB']"
"Roadwarden","Sep 12, 2022","['Moral Anxiety Studio']"
"Gerda: A Flame in Winter","Sep 01, 2022","['DON&#39;T NOD', 'PortaPlay']"
"Oddworld: Stranger&#39;s Wrath","Jan 25, 2005","['Oddworld Inhabitants', 'Electronic Arts']"
"Space Rangers 2: Dominators","Nov 25, 2004","['Elemental Games', 'Cinemaware Marquee']"
